0,100
0,111
0,138
0,196
0,198
1,106
1,138
1,139
1,173
1,184
1,190
1,192
2,117
2,139
2,153
2,154
2,181
2,199
3,109
3,112
3,126
3,133
3,161
3,174
3,185
3,194
4,128
4,133
4,149
4,156
4,161
4,162
4,170
5,114
5,125
5,134
5,149
5,197
6,115
6,126
6,195
7,116
7,169
7,171
7,174
8,154
8,176
8,192
9,120
9,126
9,164
9,184
10,100
10,115
10,121
10,160
11,126
11,135
11,155
11,177
12,101
12,107
12,108
12,156
12,174
12,189
12,191
13,127
13,131
13,146
13,158
13,175
13,199
14,100
14,112
14,123
14,150
14,162
14,167
15,169
15,199
16,112
16,129
16,135
16,137
16,173
16,182
17,117
17,142
17,143
17,149
18,101
18,108
18,139
18,188
18,190
19,117
19,118
19,183
19,187
19,190
19,194
20,114
20,116
20,157
20,183
20,184
21,103
21,111
21,122
21,133
21,177
21,190
22,101
22,105
22,107
22,118
22,123
22,137
22,177
23,102
23,119
23,145
23,146
23,171
23,179
24,102
24,173
24,180
25,116
25,124
25,142
25,144
26,107
26,120
26,127
26,131
26,135
26,153
26,161
26,177
26,192
27,104
27,113
27,128
27,140
27,162
27,196
28,109
28,189
29,147
29,168
29,172
29,178
29,180
29,199
30,139
30,155
31,160
31,169
31,184
32,113
32,120
32,125
32,150
32,151
32,188
33,101
33,128
33,136
33,165
33,171
34,115
34,128
34,141
34,168
34,174
34,178
35,136
35,140
35,150
35,164
35,186
35,190
35,194
36,121
36,151
36,166
37,125
37,137
37,148
37,162
37,177
37,195
38,110
38,117
38,133
39,105
39,112
39,146
39,158
39,173
40,109
40,147
40,148
40,178
40,189
40,191
40,196
41,105
41,126
41,162
41,176
41,192
42,178
42,181
42,195
43,112
43,130
44,125
44,130
44,131
44,136
44,161
44,182
45,166
45,183
46,137
46,144
46,169
46,179
47,129
47,137
47,141
47,153
47,173
47,186
48,116
48,127
48,134
48,138
48,170
48,181
48,184
48,191
49,104
49,110
49,119
49,126
49,160
49,163
49,169
49,192
49,196
50,148
50,149
50,178
50,187
50,188
51,118
51,150
51,160
51,170
51,171
51,176
51,177
52,108
52,120
52,127
52,136
52,137
53,198
54,104
54,122
54,145
54,158
54,180
54,184
55,132
55,163
55,167
55,176
56,103
56,113
56,129
56,192
57,117
57,127
57,152
57,167
57,177
57,198
58,111
58,157
58,190
58,198
59,110
59,128
59,140
59,147
59,172
59,194
60,116
60,117
60,135
60,145
60,182
60,188
61,105
61,109
61,119
61,132
61,133
61,182
61,183
61,189
62,152
62,169
62,170
62,176
62,194
63,157
63,159
63,160
64,145
64,171
64,172
64,174
64,185
65,120
65,199
66,104
66,130
66,168
66,193
67,108
67,113
67,134
67,157
67,166
67,168
67,184
67,189
68,124
68,153
68,158
68,162
68,195
68,197
68,199
69,107
69,109
69,112
69,121
69,122
69,124
69,135
69,137
69,147
69,160
69,165
69,186
70,112
70,125
70,145
70,150
70,159
70,197
71,110
71,165
71,185
71,198
72,126
73,101
73,111
73,143
73,151
73,158
73,164
73,186
73,187
74,146
74,152
74,167
74,173
75,100
75,123
75,136
75,185
75,194
76,103
76,113
76,136
76,140
76,148
76,170
76,175
77,106
77,155
78,105
78,131
79,170
79,175
79,185
79,186
79,189
79,192
80,102
80,106
80,114
80,120
80,123
80,140
80,146
80,156
80,158
80,159
80,170
80,193
80,197
81,111
81,116
81,122
81,172
82,104
82,143
82,153
82,161
82,179
82,185
82,195
83,133
83,163
83,195
84,131
84,150
84,188
85,110
85,117
85,124
85,150
85,154
85,159
85,188
85,193
86,115
86,142
86,147
87,119
87,138
87,146
87,183
87,191
88,122
88,130
88,142
88,144
88,148
88,149
89,158
89,162
89,163
90,132
90,135
90,141
90,146
90,171
90,193
91,142
91,143
91,149
91,157
91,160
91,168
91,172
92,149
92,190
93,101
93,102
93,120
93,122
94,123
94,128
94,157
94,168
94,183
95,111
96,147
96,151
96,173
96,175
96,186
97,119
97,191
98,132
98,134
98,143
98,165
98,174
99,103
99,107
99,118
99,124
99,157
99,167
99,169
99,197
